S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
                                        140,NFS,                                        365.10,                                        -0.30,                                        -0.08,                                        365.00,                                        374.90,                                        361.50,"                                        16,438.00",                                        365.40
                                        141,NGPL,                                        307.90,                                        4.90,                                        1.62,                                        308.80,                                        310.00,                                        303.10,"                                        15,138.00",                                        303.00
                                        142,NHDL,                                        428.00,                                        6.00,                                        1.42,                                        428.00,                                        430.00,                                        428.00,"                                        1,267.00",                                        422.00
                                        143,NHPC,                                        153.00,                                        1.00,                                        0.66,                                        152.00,                                        157.00,                                        150.10,"                                        16,918.00",                                        152.00
                                        144,NIBLGF,                                        7.95,                                        0.00,                                        0.00,                                        7.95,                                        7.95,                                        7.95,                                        100.00,                                        7.95
                                        145,NIBSF2,                                        7.09,                                        -0.06,                                        -0.84,                                        7.09,                                        7.09,                                        7.09,                                        100.00,                                        7.15
                                        146,NICA,                                        412.00,                                        1.10,                                        0.27,                                        408.00,                                        419.90,                                        405.10,"                                        28,153.00",                                        410.90
                                        147,NICFC,                                        8.41,                                        -0.07,                                        -0.83,                                        8.40,                                        8.41,                                        8.40,                                        500.00,                                        8.48
                                        148,NICGF,                                        9.30,                                        -0.01,                                        -0.11,                                        9.30,                                        9.30,                                        9.30,"                                        1,000.00",                                        9.31
                                        149,NICGF2,                                        7.61,                                        0.00,                                        0.00,                                        7.76,                                        7.76,                                        7.61,"                                        1,200.00",                                        7.61
                                        150,NICL,                                        827.00,                                        0.00,                                        0.00,                                        843.50,                                        843.50,                                        827.00,"                                        2,299.00",                                        827.00
                                        151,NICLBSL,                                        534.10,                                        -5.70,                                        -1.06,                                        534.00,                                        550.00,                                        534.00,                                        350.00,                                        539.80
                                        152,NICSF,                                        9.07,                                        0.16,                                        1.80,                                        8.74,                                        9.07,                                        8.74,"                                        5,350.00",                                        8.91
                                        153,NIFRA,                                        206.10,                                        1.10,                                        0.54,                                        206.60,                                        209.10,                                        205.10,"                                        21,083.00",                                        205.00
                                        154,NIMB,                                        162.70,                                        -1.20,                                        -0.73,                                        164.00,                                        165.00,                                        162.70,"                                        11,079.00",                                        163.90
                                        155,NLG,                                        744.00,                                        11.00,                                        1.50,                                        733.00,                                        744.00,                                        720.00,"                                        1,039.00",                                        733.00
                                        156,NLIC,                                        595.30,                                        -1.70,                                        -0.28,                                        597.00,                                        606.00,                                        595.30,"                                        3,136.00",                                        597.00
                                        157,NLICL,                                        560.00,                                        7.20,                                        1.30,                                        560.00,                                        560.00,                                        560.00,                                        10.00,                                        552.80
                                        158,NMB,                                        176.80,                                        -0.80,                                        -0.45,                                        177.00,                                        179.00,                                        175.60,"                                        9,018.00",                                        177.60
                                        159,NMBMF,                                        509.90,                                        9.90,                                        1.98,                                        509.90,                                        509.90,                                        509.90,                                        100.00,                                        500.00
                                        160,NRIC,                                        749.90,                                        -0.10,                                        -0.01,                                        750.00,                                        751.90,                                        741.00,"                                        1,777.00",                                        750.00
                                        161,NRM,                                        339.60,                                        0.60,                                        0.18,                                        333.00,                                        348.00,                                        333.00,"                                        4,205.00",                                        339.00
                                        162,NRN,                                        543.00,                                        2.90,                                        0.54,                                        535.00,                                        554.90,                                        535.00,"                                        8,413.00",                                        540.10
                                        163,NSIF2,                                        8.83,                                        -0.17,                                        -1.89,                                        8.83,                                        8.83,                                        8.83,                                        100.00,                                        9.00
                                        164,NTC,                                        842.90,                                        8.80,                                        1.06,                                        835.00,                                        849.00,                                        834.00,"                                        2,105.00",                                        834.10
                                        165,NUBL,                                        600.00,                                        4.00,                                        0.67,                                        599.00,                                        600.00,                                        599.00,                                        395.00,                                        596.00
                                        166,NWCL,                                        752.00,                                        7.00,                                        0.94,                                        754.20,                                        760.00,                                        739.20,"                                        2,609.00",                                        745.00
                                        167,NYADI,                                        277.00,                                        0.00,                                        0.00,                                        271.60,                                        282.50,                                        271.60,                                        663.00,                                        277.00
