S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
                                        137,MKHL,                                        372.90,                                        -8.20,                                        -2.15,                                        374.30,                                        396.40,                                        362.10,"                                        26,886.00",                                        381.10
                                        138,MKJC,                                        501.00,                                        3.10,                                        0.62,                                        488.10,                                        504.90,                                        482.00,"                                        7,133.00",                                        497.90
                                        139,MKLB,                                        646.00,                                        0.00,                                        0.00,                                        646.00,                                        647.00,                                        636.00,                                        931.00,                                        646.00
                                        140,MLBBL,                                        799.90,                                        0.90,                                        0.11,                                        799.00,                                        804.30,                                        783.10,"                                        2,839.00",                                        799.00
                                        141,MLBL,                                        326.00,                                        -1.00,                                        -0.31,                                        326.00,                                        330.00,                                        323.00,"                                        28,975.00",                                        327.00
                                        142,MLBS,                                        650.00,                                        -16.00,                                        -2.40,                                        655.00,                                        679.30,                                        640.00,"                                        1,585.00",                                        666.00
                                        143,MLBSL,"                                        1,598.00",                                        5.20,                                        0.33,"                                        1,624.60","                                        1,624.60","                                        1,592.00",                                        813.00,"                                        1,592.80"
                                        144,MMF1,                                        7.22,                                        0.00,                                        0.00,                                        7.22,                                        7.44,                                        7.20,"                                        52,487.00",                                        7.22
                                        145,MMFDB,                                        538.80,                                        -10.20,                                        -1.86,                                        549.00,                                        550.00,                                        538.70,"                                        1,671.00",                                        549.00
                                        146,MMKJL,                                        436.00,                                        -2.00,                                        -0.46,                                        429.40,                                        438.80,                                        410.20,"                                        15,858.00",                                        438.00
                                        147,MNBBL,                                        356.00,                                        -2.50,                                        -0.70,                                        358.00,                                        361.00,                                        355.00,"                                        22,890.00",                                        358.50
                                        148,MPFL,                                        349.70,                                        2.70,                                        0.78,                                        353.90,                                        359.90,                                        342.10,"                                        41,237.00",                                        347.00
                                        149,MSHL,                                        639.00,                                        -15.50,                                        -2.37,                                        650.00,                                        655.00,                                        625.00,"                                        5,975.00",                                        654.50
                                        150,MSLB,                                        830.20,                                        -33.80,                                        -3.91,                                        846.80,                                        846.80,                                        830.00,                                        357.00,                                        864.00
                                        151,NABBC,                                        416.30,                                        -4.70,                                        -1.12,                                        427.00,                                        427.00,                                        410.00,"                                        9,040.00",                                        421.00
                                        152,NABIL,                                        445.00,                                        -4.00,                                        -0.89,                                        450.00,                                        452.90,                                        443.00,"                                        62,441.00",                                        449.00
